PLAYER,TEAM,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,STARTER,HOME,GP
Jabari Parker,BOS,38.06725,10,16,4,6,0,0,0,7,7,1,1,1,1,5,24,1,0,3,8
Jaden McDaniels,MIN,187.9025,11,31,4,18,0,0,8,22,30,6,8,7,8,25,26,42,7,6,7
Jaden Springer,PHI,2.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,1,3
Jae Crowder,PHO,180.05625,18,48,9,32,6,7,3,32,35,12,8,2,6,11,51,0,6,4,6
Jae'Sean Tate,HOU,179.530625,29,64,5,20,6,6,15,29,44,16,4,5,15,23,69,-40,7,3,7
Jahmi'us Ramsey,SAC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Jake Layman,MIN,4.668,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,-11,0,6,7
Jakob Poeltl,SAS,208.71125,46,71,0,0,5,13,36,32,68,18,6,8,12,21,97,-23,7,3,7
Jalen Brunson,DAL,220.403125,45,93,11,26,19,26,6,36,42,34,5,1,11,14,120,30,2,4,8
Jalen Green,HOU,229.05375,37,98,17,52,11,17,3,23,26,23,6,4,20,12,102,-77,7,3,7
Jalen Johnson,ATL,11.931843749999999,4,7,2,3,2,2,0,3,3,0,0,0,0,0,12,-6,0,3,8
Jalen McDaniels,CHO,81.5925625,12,21,7,14,8,12,3,9,12,8,3,1,3,9,39,-6,0,4,9
Jalen Smith,PHO,18.3199375,3,7,0,1,3,3,2,4,6,0,1,1,1,2,9,-1,0,4,6
Jalen Suggs,ORL,262.91125,36,118,12,51,30,36,8,24,32,31,9,3,30,27,114,-14,9,3,9
James Bouknight,CHO,3.799609375,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-10,0,4,9
James Harden,BRK,268.173125,44,112,25,63,33,38,8,49,57,71,8,8,35,17,146,-15,8,6,8
James Johnson,BRK,56.21575,2,8,0,3,2,4,1,5,6,3,2,2,3,5,6,20,0,6,8
Jamorko Pickett,DET,8.567796874999999,1,1,1,1,0,0,0,0,0,0,0,0,1,0,3,8,0,2,6
Jared Butler,UTA,42.34903125,2,15,1,10,2,4,0,6,6,6,0,5,5,9,7,4,0,3,7
Jaren Jackson,MEM,212.02499999999998,34,97,20,57,21,22,6,37,43,10,6,14,14,30,109,29,8,4,8
Jarred Vanderbilt,MIN,139.128125,18,35,0,3,9,10,14,32,46,6,6,1,5,14,45,-61,3,6,7
Jarrett Allen,CLE,284.2175,55,78,0,2,20,34,24,72,96,14,10,9,12,15,130,-28,9,3,9
Jarrett Culver,MEM,5.566,0,2,0,2,1,2,0,1,1,0,0,0,0,0,1,6,0,4,8
Javonte Green,CHI,146.37625,16,27,3,6,7,8,10,21,31,4,5,4,2,15,42,-21,3,4,8
Jaxson Hayes,NOP,109.48915625000001,17,37,1,6,14,18,14,18,32,2,4,8,7,12,49,-41,0,4,9
Jay Scrubb,LAC,12.15240625,2,6,1,2,1,2,0,1,1,0,0,0,0,3,6,-8,0,3,5
Jaylen Brown,BOS,262.445625,70,138,20,53,28,36,3,41,44,18,9,3,21,23,188,34,7,3,7
Jaylen Nowell,MIN,14.4015625,2,6,0,1,0,0,1,1,2,4,0,0,1,1,4,-17,0,6,7
Jayson Tatum,BOS,304.94875,72,188,17,65,33,44,9,56,65,29,7,8,20,23,194,-7,8,3,8
Jeff Green,DEN,126.97562500000001,18,42,3,17,13,17,0,13,13,8,0,1,7,17,52,-59,0,3,8
Jerami Grant,DET,186.43062500000002,35,89,10,32,21,27,10,20,30,12,10,7,12,14,101,-74,6,3,6
Jeremiah Robinson-Earl,OKC,122.915375,16,30,6,15,2,4,9,19,28,3,2,1,8,5,40,-50,3,3,7
Jeremy Lamb,IND,130.7156875,22,52,13,27,13,13,1,15,16,5,4,3,6,12,70,15,0,3,7
Jericho Sims,NYK,22.13296875,1,1,0,0,1,2,0,6,6,0,1,0,1,2,3,9,0,4,8
Jevon Carter,BRK,129.1955625,5,26,4,18,0,0,2,14,16,11,5,3,4,12,14,-4,1,6,8
Jimmy Butler,MIA,239.01937500000003,58,113,3,9,56,63,15,33,48,39,20,3,15,19,175,77,7,3,7
Jock Landale,SAS,10.815478515625,4,5,1,1,2,3,2,0,2,2,0,1,1,0,11,9,0,3,7
Joe Harris,BRK,246.58499999999998,33,84,24,58,5,6,3,31,34,7,4,2,15,19,95,-31,8,6,8
Joe Ingles,UTA,166.079,19,40,16,35,4,4,1,21,22,16,1,2,5,12,58,40,1,3,7
Joe Wieskamp,SAS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Joel Ayayi,WAS,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7
Joel Embiid,PHI,213.90125,43,104,9,28,49,62,11,50,61,30,7,11,19,16,144,47,7,4,7
John Collins,ATL,242.47625,52,90,6,20,11,15,22,58,80,24,8,7,11,25,121,16,8,3,8
John Konchar,MEM,97.38890625,6,13,1,6,0,2,6,12,18,7,4,3,3,11,13,-10,0,4,8
Jonas Valančiūnas,NOP,303.820625,64,130,8,15,37,41,36,91,127,23,7,10,19,28,173,-20,9,4,9
Jonathan Kuminga,GSW,7.916015625,1,5,1,4,0,0,0,0,0,0,1,0,2,2,3,-4,0,2,2
Jordan Clarkson,UTA,175.42624999999998,37,110,13,65,14,16,5,17,22,10,7,1,12,10,101,35,0,3,7
Jordan McLaughlin,MIN,82.59059375,6,16,2,8,4,6,1,6,7,14,6,0,4,5,18,-27,0,6,7
Jordan Nwora,MIL,182.581875,28,75,12,38,7,9,3,30,33,13,1,5,7,10,75,3,0,4,8
Jordan Poole,GSW,199.101875,46,107,16,53,7,8,2,17,19,25,11,3,19,18,115,34,7,4,7
Jose Alvarado,NOP,1.0498046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9
Josh Christopher,HOU,28.1359921875,5,14,1,4,2,2,1,3,4,3,3,0,4,1,13,16,0,3,7
Josh Giddey,OKC,203.683125,33,75,6,19,7,11,6,34,40,41,10,5,14,15,79,-69,7,3,7
Josh Green,DAL,34.20784375,1,7,0,2,0,0,4,6,10,2,0,1,2,2,2,15,0,4,8
Josh Hart,NOP,124.664,21,38,5,14,5,8,6,21,27,11,1,2,4,12,52,-23,4,3,5
Josh Jackson,DET,155.62875,24,56,8,27,7,14,6,24,30,16,3,4,11,15,63,-34,2,3,7
Josh Okogie,MIN,93.444125,7,21,2,8,6,11,6,12,18,6,7,2,3,7,22,39,4,6,7
Josh Richardson,BOS,149.519375,18,42,7,21,4,5,6,12,18,7,4,3,6,13,47,-35,0,3,7
Joshua Primo,SAS,5.7,2,2,1,1,0,0,1,0,1,0,0,0,0,0,5,3,0,4,5
Jrue Holiday,MIL,43.14,11,16,5,8,1,2,2,3,5,6,1,0,5,3,28,23,2,1,4
Juan Hernangómez,BOS,11.331999999999999,2,6,1,3,1,2,2,3,5,0,2,0,3,1,6,-23,0,3,8
