PLAYER,TEAM,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,STARTER,HOME,GP
Paul Watson,OKC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Payton Pritchard,BOS,92.07021875,6,22,5,16,0,0,5,13,18,12,0,2,4,11,17,-36,0,3,8
Petr Cornelie,DEN,2.7319999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5
Precious Achiuwa,TOR,213.87687499999998,30,87,2,11,10,18,19,60,79,14,4,3,12,20,72,3,9,5,9
Quentin Grimes,NYK,4.566,1,2,1,2,0,0,0,0,0,0,0,0,0,0,3,-7,0,4,8
R.J. Hampton,ORL,157.12603125,22,58,9,22,9,13,2,25,27,14,2,1,15,14,62,-73,0,3,9
RJ Barrett,NYK,279.08125,55,112,20,48,23,32,4,41,45,21,4,3,16,23,153,0,8,4,8
RJ Nembhard,CLE,1.8659999999999999,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,2,3
Rajon Rondo,LAL,69.61,10,25,4,9,0,0,1,6,7,17,4,0,9,6,24,-10,0,6,8
Raul Neto,WAS,151.750625,24,49,3,15,7,7,0,18,18,23,10,1,7,13,58,-8,0,4,7
Reggie Bullock,DAL,155.8815625,17,47,12,37,3,5,1,17,18,5,0,0,2,10,49,-44,2,4,8
Reggie Jackson,LAC,245.47,42,118,23,64,7,9,6,21,27,29,5,0,10,12,114,15,7,4,7
Richaun Holmes,SAC,215.29874999999998,51,75,2,3,16,17,21,58,79,14,4,10,9,31,120,22,8,3,8
Ricky Rubio,CLE,253.456875,36,104,15,46,16,19,4,29,33,61,12,2,26,20,103,38,2,3,9
Robert Covington,POR,219.7025,13,35,12,32,0,0,3,39,42,4,9,7,6,16,38,4,8,4,8
Robert Williams,BOS,221.69562499999998,30,43,0,0,10,15,24,33,57,10,7,17,6,13,70,21,7,3,7
Robert Woodard,SAC,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Robin Lopez,ORL,59.012375000000006,8,13,0,0,6,8,5,7,12,3,0,2,3,4,22,-48,0,3,9
Rodney Hood,MIL,69.16875,5,17,5,12,5,5,2,10,12,4,1,0,1,8,20,15,0,3,6
Rodney McGruder,DET,19.68359375,1,5,1,3,0,0,0,2,2,2,0,1,0,1,3,12,0,3,7
Romeo Langford,BOS,84.2765625,10,20,5,10,0,0,5,7,12,3,2,0,5,9,25,-55,0,2,5
Royce O'Neale,UTA,210.851875,15,36,6,24,0,0,8,22,30,12,11,5,6,17,36,71,7,3,7
Rudy Gobert,UTA,218.74812500000002,34,47,0,0,42,59,26,97,123,7,5,14,16,20,110,30,7,3,7
Rui Hachimura,WAS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Russell Westbrook,LAL,287.27250000000004,65,146,7,32,18,31,15,55,70,68,12,1,39,28,155,-15,8,6,8
Saben Lee,DET,27.0318125,2,8,0,3,2,4,0,3,3,3,2,0,2,1,6,6,0,3,7
Saddiq Bey,DET,226.81125,39,99,12,42,9,14,17,38,55,20,5,3,9,9,99,-67,7,3,7
Sam Dekker,TOR,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,5,9
Sam Hauser,BOS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sam Merrill,MEM,28.25,3,12,3,12,0,0,0,0,0,3,0,0,2,1,9,-1,0,4,8
Sandro Mamukelashvili,MIL,61.093828124999995,7,15,3,6,2,3,3,6,9,2,0,0,2,4,19,-22,0,4,8
Santi Aldama,MEM,11.433187499999999,3,8,1,4,2,3,2,1,3,0,0,0,0,2,9,5,0,4,8
Scottie Barnes,TOR,244.21,54,98,2,9,17,24,21,41,62,14,5,4,17,19,127,9,7,5,7
Sekou Doumbouya,LAL,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Semi Ojeleye,MIL,45.4546875,1,13,0,11,2,4,2,7,9,0,1,0,2,5,4,-14,0,2,3
Seth Curry,PHI,256.43,52,85,22,41,11,13,2,25,27,15,4,2,10,10,137,59,8,5,8
Shai Gilgeous-Alexander,OKC,239.77249999999998,57,127,17,47,29,37,5,31,36,25,5,2,14,16,160,-72,7,3,7
Shake Milton,PHI,74.8125,17,34,4,14,3,3,2,7,9,12,2,1,5,10,41,3,0,4,5
Sharife Cooper,ATL,6.717,0,3,0,2,0,0,0,0,0,2,0,0,1,0,0,-6,0,3,5
Skylar Mays,ATL,11.931843749999999,3,4,1,2,3,3,0,1,1,0,0,0,0,1,10,-6,0,3,8
Solomon Hill,ATL,42.266,2,8,2,7,0,0,1,6,7,4,2,0,1,7,6,23,0,3,8
Spencer Dinwiddie,WAS,214.91375,43,100,14,37,25,26,5,29,34,41,3,1,12,15,125,-13,7,3,7
Stephen Curry,GSW,244.59,60,143,34,91,33,34,5,48,53,48,10,4,28,11,187,59,7,4,7
Sterling Brown,DAL,72.66931249999999,4,22,3,17,2,2,4,15,19,5,1,1,6,10,13,-1,0,3,6
Steven Adams,MEM,211.365,30,55,0,0,15,15,30,43,73,23,7,4,12,13,75,7,8,4,8
Svi Mykhailiuk,TOR,169.7681875,26,47,12,27,15,17,7,23,30,12,9,0,10,17,79,14,2,5,9
T.J. McConnell,IND,220.866875,30,64,3,11,0,2,2,21,23,50,8,3,12,19,63,-43,3,5,9
Tacko Fall,CLE,1.8659999999999999,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,3,0,3,4
Taj Gibson,NYK,81.0184375,10,18,0,3,3,3,10,10,20,4,1,5,3,14,23,19,0,3,6
Taurean Prince,MIN,96.0035,6,26,3,19,5,8,3,8,11,4,3,0,5,10,20,3,0,6,7
Terance Mann,LAC,208.581875,26,60,8,23,10,14,13,23,36,22,9,2,8,17,70,39,0,4,7
Terence Davis,SAC,68.38321875,7,33,2,19,0,0,1,7,8,6,3,0,3,12,16,-14,1,3,8
Terrence Ross,ORL,237.079375,31,72,13,39,17,20,2,14,16,15,4,2,8,12,92,-119,0,3,9
Terry Rozier,CHO,124.7475,16,49,9,29,7,8,2,14,16,11,4,1,12,5,48,0,4,2,6
Thaddeus Young,SAS,65.8355,11,23,0,2,0,0,8,10,18,12,5,2,6,7,22,0,0,2,6
Thanasis Antetokounmpo,MIL,152.54375,20,40,0,3,5,7,14,30,44,11,9,1,9,21,45,-12,4,4,8
Théo Maledon,OKC,116.83343749999999,7,28,3,17,3,4,3,12,15,11,2,0,11,8,20,-27,0,3,7
Tim Hardaway,DAL,249.28875,39,98,24,66,18,22,2,25,27,16,10,1,6,16,120,-27,8,4,8
Timothé Luwawu-Cabarrot,ATL,11.931843749999999,0,4,0,2,1,2,0,3,3,2,0,0,1,0,1,-6,0,3,8
Tobias Harris,PHI,198.333125,51,94,8,25,9,10,8,46,54,25,1,2,9,7,119,13,6,4,7
Tomáš Satoranský,NOP,44.8868125,3,11,1,2,1,1,0,2,2,4,1,0,5,3,8,-29,0,4,9
Tony Bradley,CHI,46.90665625,5,9,0,0,0,0,7,9,16,0,0,6,2,7,10,38,0,4,8
Tony Snell,POR,14.8125,2,3,2,3,0,0,0,1,1,0,0,0,0,1,6,-5,0,0,3
Torrey Craig,IND,159.00125,22,47,10,27,8,10,16,19,35,12,3,3,7,19,62,-12,0,5,9
Trae Young,ATL,275.84375,64,157,12,43,41,45,4,26,30,76,7,1,26,8,181,2,8,3,8
Tre Jones,SAS,47.09278125,9,17,0,1,3,3,0,5,5,7,1,0,1,2,21,4,0,4,8
Tre Mann,OKC,52.546,10,23,3,9,1,4,2,3,5,1,1,2,1,5,24,-25,0,3,5
Trent Forrest,UTA,16.9828125,2,2,0,0,0,0,0,3,3,2,0,0,1,2,4,3,0,2,6
Trey Burke,DAL,28.876875,5,12,2,5,4,4,0,2,2,4,1,0,3,0,16,1,0,2,6
Trey Lyles,DET,119.73125,20,45,8,23,18,22,8,23,31,11,3,2,9,6,66,-14,0,3,7
Trey Murphy,NOP,189.374375,16,47,13,34,4,5,4,20,24,9,3,1,8,16,49,-26,0,4,9
Tristan Thompson,SAC,69.1581875,11,18,0,0,3,5,7,12,19,3,0,1,2,8,25,-26,0,3,8
Troy Brown,CHI,68.002296875,9,22,4,11,1,2,2,7,9,2,1,0,1,7,23,0,0,4,8
Ty Jerome,OKC,54.221562500000005,4,19,3,14,2,2,0,4,4,6,5,0,2,4,13,25,0,3,7
Tyler Cook,CHI,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Tyler Herro,MIA,220.826875,60,127,20,49,17,20,7,36,43,31,1,0,17,8,157,82,0,3,7
Tyrese Haliburton,SAC,261.42875000000004,41,90,8,26,15,18,4,25,29,44,11,11,10,8,105,-16,8,3,8
Tyrese Maxey,PHI,257.62312499999996,43,87,6,19,20,24,3,21,24,34,4,4,15,20,112,50,8,5,8
Tyus Jones,MEM,133.1311875,23,42,11,21,0,0,1,18,19,29,6,0,1,4,57,-6,0,4,8
Udoka Azubuike,UTA,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
Udonis Haslem,MIA,4.5,1,3,0,1,0,0,1,1,2,0,0,0,0,1,2,-1,0,2,6
Usman Garuba,HOU,25.6029921875,2,6,0,3,0,0,3,5,8,4,1,4,2,3,4,17,0,3,7
Vernon Carey,CHO,0.7829999999999999,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,6
Vit Krejci,OKC,9.048,0,2,0,2,2,2,0,2,2,0,0,0,1,0,2,-1,0,3,5
Wayne Ellington,LAL,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Wayne Selden,NYK,0.9670000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,4,7
Wendell Carter,ORL,261.20375,45,88,12,31,14,20,23,69,92,21,6,7,17,26,116,-22,9,3,9
Will Barton,DEN,260.5625,49,103,15,41,9,13,5,28,33,33,11,6,16,7,122,38,8,3,8
Willie Cauley-Stein,DAL,91.0825,7,17,0,1,0,0,8,15,23,5,2,0,2,5,14,8,0,4,8
Willy Hernangómez,NOP,10.75,2,2,0,0,4,4,0,2,2,1,0,0,0,2,8,-11,0,4,9
Xavier Tillman,MEM,90.859375,11,22,1,7,3,5,8,14,22,6,10,1,5,5,26,-38,0,4,8
Zach LaVine,CHI,281.01875,71,150,18,52,46,49,4,40,44,35,4,3,21,13,206,19,8,4,8
Zeke Nnaji,DEN,9.966375,3,5,2,3,0,0,1,3,4,0,0,0,0,2,8,3,0,3,8
Ziaire Williams,MEM,146.5174375,15,48,10,34,2,2,4,9,13,5,5,4,6,12,42,-21,0,4,8
