PLAYER,TEAM,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,STARTER,HOME,GP
Jerami Grant,DET,31.0718,5.8333,14.8333,0.3952,1.6667,5.3333,0.2778,3.5,4.5,0.6023,1.6667,3.3333,5.0,2.0,1.6667,1.1667,2.0,2.3333,16.8333,-12.3333,1.0,0.5,6
Jeremiah Robinson-Earl,OKC,17.5593,2.2857,4.2857,0.4226,0.8571,2.1429,0.3096,0.2857,0.5714,0.1429,1.2857,2.7143,4.0,0.4286,0.2857,0.1429,1.1429,0.7143,5.7143,-7.1429,0.4286,0.4286,7
Jeremy Lamb,IND,18.6737,3.1429,7.4286,0.4498,1.8571,3.8571,0.5096,1.8571,1.8571,0.7143,0.1429,2.1429,2.2857,0.7143,0.5714,0.4286,0.8571,1.7143,10.0,2.1429,0.0,0.4286,7
Jericho Sims,NYK,2.7666,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.25,0.0625,0.0,0.75,0.75,0.0,0.125,0.0,0.125,0.25,0.375,1.125,0.0,0.5,8
Jevon Carter,BRK,16.1494,0.625,3.25,0.1554,0.5,2.25,0.15,0.0,0.0,0.0,0.25,1.75,2.0,1.375,0.625,0.375,0.5,1.5,1.75,-0.5,0.125,0.75,8
Jimmy Butler,MIA,34.1456,8.2857,16.1429,0.5183,0.4286,1.2857,0.1666,8.0,9.0,0.8917,2.1429,4.7143,6.8571,5.5714,2.8571,0.4286,2.1429,2.7143,25.0,11.0,1.0,0.4286,7
Jock Landale,SAS,1.5451,0.5714,0.7143,0.1429,0.1429,0.1429,0.1429,0.2857,0.4286,0.2143,0.2857,0.0,0.2857,0.2857,0.0,0.1429,0.1429,0.0,1.5714,1.2857,0.0,0.4286,7
Joe Harris,BRK,30.8231,4.125,10.5,0.4078,3.0,7.25,0.4222,0.625,0.75,0.3125,0.375,3.875,4.25,0.875,0.5,0.25,1.875,2.375,11.875,-3.875,1.0,0.75,8
Joe Ingles,UTA,23.7256,2.7143,5.7143,0.4757,2.2857,5.0,0.4629,0.5714,0.5714,0.2857,0.1429,3.0,3.1429,2.2857,0.1429,0.2857,0.7143,1.7143,8.2857,5.7143,0.1429,0.4286,7
Joe Wieskamp,SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Joel Ayayi,WAS,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.5714,7
Joel Embiid,PHI,30.5573,6.1429,14.8571,0.4041,1.2857,4.0,0.3096,7.0,8.8571,0.7698,1.5714,7.1429,8.7143,4.2857,1.0,1.5714,2.7143,2.2857,20.5714,6.7143,1.0,0.5714,7
