PLAYER,TEAM,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,STARTER,HOME,GP
Malcolm Brogdon,IND,36.8765,8.0,17.8333,0.4537,1.3333,5.3333,0.2722,5.0,5.1667,0.9583,1.3333,5.8333,7.1667,7.0,0.5,0.8333,3.3333,2.1667,22.3333,1.8333,1.0,0.5,6
Malik Beasley,MIN,24.4918,3.5714,9.8571,0.3791,2.4286,6.8571,0.2966,0.2857,0.5714,0.1429,0.7143,1.8571,2.5714,2.0,1.0,0.2857,0.5714,0.5714,9.8571,-3.8571,0.0,0.8571,7
Malik Fitts,UTA,1.2292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.5,4
Malik Monk,LAL,20.5899,2.25,6.125,0.2839,1.25,3.875,0.2521,0.75,1.0,0.375,0.375,1.25,1.625,1.75,0.75,0.0,0.75,0.875,6.5,-0.125,0.25,0.75,8
Marcos Louzada Silva,NOP,0.1166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.4444,9
Marcus Garrett,MIA,2.322,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.3333,0.0,1.3333,0.0,0.6667,3
Marcus Morris,LAC,27.415,3.5,9.0,0.3965,1.5,5.5,0.2835,1.0,1.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.5,4.0,9.5,-15.0,1.0,0.5,2
Marcus Smart,BOS,35.8439,2.8571,9.4286,0.2793,1.8571,6.4286,0.2713,1.1429,1.7143,0.3714,0.0,3.5714,3.5714,4.0,2.5714,0.4286,2.0,2.7143,8.7143,4.0,1.0,0.4286,7
Markieff Morris,MIA,18.2267,3.2857,7.1429,0.4574,0.7143,2.1429,0.2976,0.4286,0.4286,0.2857,1.1429,1.4286,2.5714,1.4286,0.4286,0.1429,1.0,2.7143,7.7143,3.1429,0.0,0.4286,7
Marko Simonovic,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,3
Markus Howard,DEN,1.1603,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.625,0.0,0.375,8
Marvin Bagley,SAC,1.3062,0.125,0.25,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.125,0.125,0.25,0.375,0.0,0.375,8
Mason Plumlee,CHO,27.0291,2.8889,5.5556,0.519,0.0,0.0,0.0,0.8889,2.8889,0.2778,2.8889,5.2222,8.1111,2.4444,0.8889,1.2222,1.3333,2.2222,6.6667,-0.4444,1.0,0.4444,9
Matisse Thybulle,PHI,24.2819,2.125,4.125,0.511,0.625,1.875,0.2916,0.25,0.25,0.125,0.5,1.875,2.375,1.375,2.5,1.5,0.875,1.75,5.125,3.625,0.125,0.625,8
Matt Thomas,CHI,0.3042,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.5,8
Maurice Harkless,SAC,21.5315,1.625,4.0,0.2989,0.625,2.5,0.1562,0.375,0.375,0.125,0.125,3.125,3.25,0.5,0.375,0.75,0.5,1.625,4.25,-0.125,0.875,0.375,8
Max Strus,MIA,17.268,2.1667,5.3333,0.4118,1.5,4.0,0.3777,0.1667,0.5,0.0833,0.1667,2.5,2.6667,0.8333,0.3333,0.1667,0.3333,1.0,6.0,7.5,0.0,0.5,6
Maxi Kleber,DAL,18.819,2.3333,4.6667,0.5167,1.8333,3.8333,0.5277,0.6667,0.6667,0.3333,1.0,4.3333,5.3333,0.5,0.5,1.1667,0.6667,2.0,7.1667,3.0,0.1667,0.5,6
McKinley Wright,MIN,4.133,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,-6.0,0.0,1.0,1
Michael Porter,DEN,32.2316,4.5,12.375,0.3799,1.25,5.75,0.205,0.625,1.125,0.375,1.125,5.75,6.875,2.125,1.25,0.25,1.5,2.0,10.875,6.25,1.0,0.375,8
Mikal Bridges,PHO,33.3219,6.8333,12.0,0.5767,1.8333,4.1667,0.3972,0.8333,1.3333,0.2917,0.5,3.3333,3.8333,1.5,0.6667,0.6667,1.3333,2.5,16.3333,4.8333,1.0,0.6667,6
Mike Conley,UTA,28.6029,5.6667,11.6667,0.4712,3.1667,6.5,0.4706,1.8333,2.0,0.5833,0.0,2.0,2.0,3.3333,1.3333,0.1667,2.3333,1.5,16.3333,6.1667,1.0,0.5,6
Mike Muscala,OKC,14.2424,2.1667,5.5,0.3718,1.1667,3.3333,0.3017,1.3333,1.6667,0.5417,0.3333,2.8333,3.1667,0.6667,0.6667,0.3333,0.3333,1.1667,6.8333,-4.6667,0.0,0.3333,6
Miles Bridges,CHO,35.7303,8.7778,18.2222,0.4805,2.8889,7.7778,0.3716,3.6667,4.2222,0.7704,1.6667,6.3333,8.0,3.2222,1.7778,1.0,1.7778,2.6667,24.1111,4.1111,1.0,0.4444,9
Miles McBride,NYK,0.3478,0.0,0.375,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,-0.875,0.0,0.5,8
Mitchell Robinson,NYK,29.5258,3.125,3.75,0.8625,0.0,0.0,0.0,1.25,2.375,0.5188,3.125,5.75,8.875,1.25,0.375,1.375,0.875,3.375,7.5,-2.0,1.0,0.5,8
Miye Oni,UTA,1.0766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-2.4,0.0,0.4,5
Mohamed Bamba,ORL,31.9068,4.2222,8.5556,0.5079,1.5556,3.8889,0.4259,1.6667,2.4444,0.5833,2.6667,6.5556,9.2222,2.1111,0.7778,2.0,2.1111,3.2222,11.6667,-2.7778,1.0,0.3333,9
Monte Morris,DEN,28.7106,4.625,10.125,0.4467,1.125,3.625,0.2584,0.375,0.75,0.1875,0.5,1.75,2.25,4.0,0.5,0.125,1.625,1.625,10.75,7.625,1.0,0.375,8
Montrezl Harrell,WAS,31.2095,6.125,10.125,0.6044,0.125,0.625,0.0416,5.625,6.75,0.8195,2.75,7.125,9.875,2.125,0.375,1.25,1.25,2.5,18.0,4.875,0.25,0.5,8
Moritz Wagner,ORL,11.6285,1.6667,4.3333,0.3948,1.1111,3.1111,0.2851,0.6667,1.3333,0.3611,0.3333,2.4444,2.7778,0.5556,0.0,0.1111,0.7778,1.8889,5.1111,-0.1111,0.0,0.3333,9
Moses Brown,DAL,1.8687,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.75,0.0938,0.125,0.5,0.625,0.0,0.0,0.25,0.0,0.25,0.75,-0.25,0.0,0.5,8
Moses Moody,GSW,4.664,0.4286,1.5714,0.0884,0.1429,0.8571,0.0286,0.1429,0.2857,0.0714,0.0,0.8571,0.8571,0.4286,0.0,0.1429,0.0,0.2857,1.1429,0.0,0.0,0.5714,7
Mychal Mulder,ORL,1.7754,0.25,1.25,0.0625,0.25,0.5,0.25,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.0,0.0,0.25,0.25,0.75,2.5,0.0,0.5,4
Myles Turner,IND,27.0044,5.1111,9.2222,0.497,2.0,4.8889,0.3136,2.3333,3.5556,0.4321,1.5556,6.5556,8.1111,1.1111,0.5556,2.8889,1.6667,2.4444,14.5556,1.6667,1.0,0.5556,9
Naji Marshall,NOP,14.3413,0.7778,2.5556,0.4,0.1111,1.1111,0.037,1.1111,1.3333,0.3611,0.7778,3.0,3.7778,1.3333,0.6667,0.3333,1.1111,1.7778,2.7778,-3.1111,0.0,0.4444,9
Nassir Little,POR,21.9911,2.625,5.25,0.4717,1.0,2.375,0.3855,0.875,1.125,0.375,2.0,3.25,5.25,0.625,0.625,0.625,1.125,1.75,7.125,-1.25,0.25,0.5,8
Nathan Knight,MIN,0.1945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.8333,6
Naz Reid,MIN,14.2734,3.1429,6.5714,0.4915,0.7143,3.0,0.1523,1.4286,2.0,0.619,0.8571,1.5714,2.4286,0.7143,0.8571,1.0,0.8571,2.4286,8.4286,-3.8571,0.0,0.8571,7
Nemanja Bjelica,GSW,15.1957,2.4286,4.8571,0.5533,0.5714,1.2857,0.3333,0.7143,1.0,0.3571,1.1429,4.0,5.1429,1.8571,0.7143,0.2857,0.8571,1.0,6.1429,4.8571,0.0,0.5714,7
Nerlens Noel,NYK,17.7969,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1
Nick Richards,CHO,3.2406,0.6667,0.7778,0.3056,0.0,0.0,0.0,0.1111,0.1111,0.1111,0.2222,0.4444,0.6667,0.0,0.0,0.3333,0.2222,0.2222,1.4444,0.3333,0.0,0.4444,9
Nickeil Alexander-Walker,NOP,31.6499,5.4444,15.3333,0.3631,2.0,7.6667,0.272,1.0,1.2222,0.3333,1.4444,3.7778,5.2222,2.6667,1.3333,0.6667,1.4444,1.6667,13.8889,-6.1111,1.0,0.4444,9
Nicolas Batum,LAC,27.4874,3.6667,8.0,0.4382,2.3333,5.8333,0.2972,0.1667,0.5,0.0555,0.5,5.6667,6.1667,1.6667,1.0,0.8333,0.5,1.0,9.8333,7.0,0.8333,0.6667,6
Nicolas Claxton,BRK,18.895,2.75,5.0,0.5,0.0,0.0,0.0,1.0,2.25,0.3125,0.75,4.75,5.5,0.75,0.0,1.0,0.75,1.25,6.5,-5.5,0.75,0.5,4
Nikola Jokić,DEN,31.0409,9.875,16.5,0.6198,1.875,4.625,0.4822,3.5,4.25,0.5893,2.625,10.75,13.375,5.625,1.5,0.875,3.625,2.75,25.125,9.625,1.0,0.375,8
Nikola Vučević,CHI,34.3475,5.5,14.125,0.3965,1.125,4.0,0.2354,1.625,2.25,0.4375,1.625,9.125,10.75,4.5,1.375,0.875,1.625,2.375,13.75,3.875,1.0,0.5,8
Norman Powell,POR,27.6972,6.0,11.6667,0.5188,2.1667,5.1667,0.4258,2.6667,3.0,0.5903,0.1667,2.6667,2.8333,1.3333,0.6667,0.5,0.6667,1.3333,16.8333,2.8333,1.0,0.5,6
OG Anunoby,TOR,36.8507,7.5556,18.4444,0.408,3.0,8.1111,0.3656,2.2222,2.5556,0.4841,1.8889,3.6667,5.5556,2.5556,1.7778,0.6667,1.6667,3.0,20.3333,4.3333,1.0,0.5556,9
Obi Toppin,NYK,15.3317,2.875,4.75,0.5766,0.25,1.625,0.0625,1.125,2.25,0.5459,0.625,2.0,2.625,0.875,0.5,0.875,0.5,1.625,7.125,3.25,0.0,0.5,8
Omer Yurtseven,MIA,2.2785,0.8571,1.2857,0.3096,0.0,0.0,0.0,0.0,0.1429,0.0,0.2857,0.7143,1.0,0.0,0.0,0.0,0.1429,0.0,1.7143,0.1429,0.0,0.4286,7
Oshae Brissett,IND,10.9301,1.4444,3.3333,0.2202,0.4444,1.5556,0.0833,0.1111,0.3333,0.037,0.3333,1.6667,2.0,0.3333,0.2222,0.1111,0.7778,1.0,3.4444,-5.1111,0.0,0.5556,9
Otto Porter,GSW,17.1022,2.1429,4.4286,0.488,1.0,2.4286,0.3096,0.4286,0.5714,0.2143,0.5714,3.4286,4.0,1.2857,0.7143,0.5714,0.7143,1.5714,5.7143,3.4286,0.0,0.5714,7
P.J. Tucker,MIA,27.0779,1.8571,4.7143,0.3738,1.0,3.0,0.3714,0.4286,0.7143,0.1667,1.1429,3.7143,4.8571,1.4286,0.4286,0.0,0.2857,2.4286,5.1429,11.8571,1.0,0.4286,7
P.J. Washington,CHO,18.4691,3.125,6.625,0.3996,1.0,2.75,0.3666,1.375,1.75,0.5209,1.375,2.625,4.0,1.25,0.625,0.875,1.125,1.0,8.625,-2.25,0.0,0.375,8
PJ Dozier,DEN,17.7974,1.75,4.5,0.3749,0.75,2.375,0.1979,0.125,0.375,0.0625,0.375,2.0,2.375,1.375,0.75,0.375,0.5,1.375,4.375,-5.125,0.0,0.375,8
Pat Connaughton,MIL,29.9054,4.25,8.625,0.493,2.125,5.625,0.3368,0.375,0.5,0.2084,1.125,4.0,5.125,1.75,0.875,0.25,0.625,1.625,11.0,-1.75,0.625,0.5,8
Patrick Beverley,MIN,16.8079,2.1429,4.1429,0.3714,1.1429,2.7143,0.2619,0.4286,0.5714,0.2143,1.1429,2.2857,3.4286,4.0,0.5714,0.7143,1.0,2.1429,5.8571,-0.1429,0.1429,0.8571,7
Patrick Williams,CHI,24.9281,2.6,4.6,0.581,0.6,1.2,0.2666,0.8,0.8,0.4,0.2,2.0,2.2,0.6,0.6,0.4,0.4,1.8,6.6,2.4,1.0,0.6,5
Patty Mills,BRK,25.8917,4.0,8.75,0.4629,2.75,5.25,0.5367,0.25,0.375,0.125,0.375,2.0,2.375,3.0,0.5,0.25,0.5,1.625,11.0,4.625,0.0,0.75,8
Paul George,LAC,34.5589,10.8571,21.4286,0.4987,3.8571,9.1429,0.4163,3.2857,3.8571,0.5,0.2857,7.4286,7.7143,4.7143,3.0,0.5714,4.1429,2.8571,28.8571,0.8571,1.0,0.5714,7
Paul Millsap,BRK,11.4644,1.2857,3.1429,0.2951,0.4286,1.7143,0.1547,1.1429,1.5714,0.3673,0.4286,3.1429,3.5714,1.1429,0.2857,0.2857,0.4286,1.8571,4.1429,0.7143,0.0,0.7143,7
Paul Reed,PHI,3.6576,0.5,1.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.75,0.5,0.125,0.375,0.0,0.75,1.0,0.125,0.0,0.625,8
Paul Watson,OKC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
Payton Pritchard,BOS,11.5088,0.75,2.75,0.177,0.625,2.0,0.1749,0.0,0.0,0.0,0.625,1.625,2.25,1.5,0.0,0.25,0.5,1.375,2.125,-4.5,0.0,0.375,8
Petr Cornelie,DEN,0.5464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,5
Precious Achiuwa,TOR,23.7641,3.3333,9.6667,0.3397,0.2222,1.2222,0.1111,1.1111,2.0,0.4074,2.1111,6.6667,8.7778,1.5556,0.4444,0.3333,1.3333,2.2222,8.0,0.3333,1.0,0.5556,9
Quentin Grimes,NYK,0.5708,0.125,0.25,0.0625,0.125,0.25,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,-0.875,0.0,0.5,8
R.J. Hampton,ORL,17.4584,2.4444,6.4444,0.3634,1.0,2.4444,0.4297,1.0,1.4444,0.4167,0.2222,2.7778,3.0,1.5556,0.2222,0.1111,1.6667,1.5556,6.8889,-8.1111,0.0,0.3333,9
RJ Barrett,NYK,34.8852,6.875,14.0,0.4882,2.5,6.0,0.3891,2.875,4.0,0.6517,0.5,5.125,5.625,2.625,0.5,0.375,2.0,2.875,19.125,0.0,1.0,0.5,8
RJ Nembhard,CLE,0.622,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.6667,1.0,0.0,0.6667,3
Rajon Rondo,LAL,8.7012,1.25,3.125,0.1904,0.5,1.125,0.1875,0.0,0.0,0.0,0.125,0.75,0.875,2.125,0.5,0.0,1.125,0.75,3.0,-1.25,0.0,0.75,8
Raul Neto,WAS,21.6787,3.4286,7.0,0.4604,0.4286,2.1429,0.119,1.0,1.0,0.4286,0.0,2.5714,2.5714,3.2857,1.4286,0.1429,1.0,1.8571,8.2857,-1.1429,0.0,0.5714,7
Reggie Bullock,DAL,19.4852,2.125,5.875,0.2779,1.5,4.625,0.2507,0.375,0.625,0.25,0.125,2.125,2.25,0.625,0.0,0.0,0.25,1.25,6.125,-5.5,0.25,0.5,8
Reggie Jackson,LAC,35.0671,6.0,16.8571,0.354,3.2857,9.1429,0.371,1.0,1.2857,0.3571,0.8571,3.0,3.8571,4.1429,0.7143,0.0,1.4286,1.7143,16.2857,2.1429,1.0,0.5714,7
Richaun Holmes,SAC,26.9123,6.375,9.375,0.6834,0.25,0.375,0.25,2.0,2.125,0.5834,2.625,7.25,9.875,1.75,0.5,1.25,1.125,3.875,15.0,2.75,1.0,0.375,8
Ricky Rubio,CLE,28.1619,4.0,11.5556,0.3135,1.6667,5.1111,0.2851,1.7778,2.1111,0.6944,0.4444,3.2222,3.6667,6.7778,1.3333,0.2222,2.8889,2.2222,11.4444,4.2222,0.2222,0.3333,9
Robert Covington,POR,27.4628,1.625,4.375,0.3229,1.5,4.0,0.317,0.0,0.0,0.0,0.375,4.875,5.25,0.5,1.125,0.875,0.75,2.0,4.75,0.5,1.0,0.5,8
Robert Williams,BOS,31.6708,4.2857,6.1429,0.6836,0.0,0.0,0.0,1.4286,2.1429,0.3929,3.4286,4.7143,8.1429,1.4286,1.0,2.4286,0.8571,1.8571,10.0,3.0,1.0,0.4286,7
Robert Woodard,SAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2
Robin Lopez,ORL,6.5569,0.8889,1.4444,0.2186,0.0,0.0,0.0,0.6667,0.8889,0.2889,0.5556,0.7778,1.3333,0.3333,0.0,0.2222,0.3333,0.4444,2.4444,-5.3333,0.0,0.3333,9
Rodney Hood,MIL,11.5281,0.8333,2.8333,0.2472,0.8333,2.0,0.3055,0.8333,0.8333,0.3333,0.3333,1.6667,2.0,0.6667,0.1667,0.0,0.1667,1.3333,3.3333,2.5,0.0,0.5,6
Rodney McGruder,DET,2.8119,0.1429,0.7143,0.0714,0.1429,0.4286,0.0714,0.0,0.0,0.0,0.0,0.2857,0.2857,0.2857,0.0,0.1429,0.0,0.1429,0.4286,1.7143,0.0,0.4286,7
Romeo Langford,BOS,16.8553,2.0,4.0,0.48,1.0,2.0,0.3668,0.0,0.0,0.0,1.0,1.4,2.4,0.6,0.4,0.0,1.0,1.8,5.0,-11.0,0.0,0.4,5
Royce O'Neale,UTA,30.1217,2.1429,5.1429,0.4042,0.8571,3.4286,0.2737,0.0,0.0,0.0,1.1429,3.1429,4.2857,1.7143,1.5714,0.7143,0.8571,2.4286,5.1429,10.1429,1.0,0.4286,7
Rudy Gobert,UTA,31.2497,4.8571,6.7143,0.7174,0.0,0.0,0.0,6.0,8.4286,0.7329,3.7143,13.8571,17.5714,1.0,0.7143,2.0,2.2857,2.8571,15.7143,4.2857,1.0,0.4286,7
Rui Hachimura,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Russell Westbrook,LAL,35.9091,8.125,18.25,0.4372,0.875,4.0,0.2812,2.25,3.875,0.448,1.875,6.875,8.75,8.5,1.5,0.125,4.875,3.5,19.375,-1.875,1.0,0.75,8
Saben Lee,DET,3.8617,0.2857,1.1429,0.119,0.0,0.4286,0.0,0.2857,0.5714,0.1429,0.0,0.4286,0.4286,0.4286,0.2857,0.0,0.2857,0.1429,0.8571,0.8571,0.0,0.4286,7
Saddiq Bey,DET,32.4016,5.5714,14.1429,0.3984,1.7143,6.0,0.2349,1.2857,2.0,0.5357,2.4286,5.4286,7.8571,2.8571,0.7143,0.4286,1.2857,1.2857,14.1429,-9.5714,1.0,0.4286,7
Sam Dekker,TOR,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5556,0.0,0.5556,9
Sam Hauser,BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Sam Merrill,MEM,3.5312,0.375,1.5,0.0625,0.375,1.5,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.25,0.125,1.125,-0.125,0.0,0.5,8
Sandro Mamukelashvili,MIL,7.6367,0.875,1.875,0.243,0.375,0.75,0.1875,0.25,0.375,0.125,0.375,0.75,1.125,0.25,0.0,0.0,0.25,0.5,2.375,-2.75,0.0,0.5,8
Santi Aldama,MEM,1.4291,0.375,1.0,0.0625,0.125,0.5,0.0625,0.25,0.375,0.125,0.25,0.125,0.375,0.0,0.0,0.0,0.0,0.25,1.125,0.625,0.0,0.5,8
Scottie Barnes,TOR,34.8871,7.7143,14.0,0.5607,0.2857,1.2857,0.1429,2.4286,3.4286,0.7687,3.0,5.8571,8.8571,2.0,0.7143,0.5714,2.4286,2.7143,18.1429,1.2857,1.0,0.7143,7
Sekou Doumbouya,LAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Semi Ojeleye,MIL,15.1516,0.3333,4.3333,0.111,0.0,3.6667,0.0,0.6667,1.3333,0.3333,0.6667,2.3333,3.0,0.0,0.3333,0.0,0.6667,1.6667,1.3333,-4.6667,0.0,0.6667,3
Seth Curry,PHI,32.0538,6.5,10.625,0.6051,2.75,5.125,0.5834,1.375,1.625,0.5312,0.25,3.125,3.375,1.875,0.5,0.25,1.25,1.25,17.125,7.375,1.0,0.625,8
Shai Gilgeous-Alexander,OKC,34.2532,8.1429,18.1429,0.4444,2.4286,6.7143,0.374,4.1429,5.2857,0.6476,0.7143,4.4286,5.1429,3.5714,0.7143,0.2857,2.0,2.2857,22.8571,-10.2857,1.0,0.4286,7
Shake Milton,PHI,14.9625,3.4,6.8,0.411,0.8,2.8,0.2334,0.6,0.6,0.4,0.4,1.4,1.8,2.4,0.4,0.2,1.0,2.0,8.2,0.6,0.0,0.8,5
Sharife Cooper,ATL,1.3434,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,-1.2,0.0,0.6,5
Skylar Mays,ATL,1.4915,0.375,0.5,0.2084,0.125,0.25,0.125,0.375,0.375,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.125,1.25,-0.75,0.0,0.375,8
Solomon Hill,ATL,5.2832,0.25,1.0,0.0625,0.25,0.875,0.0625,0.0,0.0,0.0,0.125,0.75,0.875,0.5,0.25,0.0,0.125,0.875,0.75,2.875,0.0,0.375,8
Spencer Dinwiddie,WAS,30.702,6.1429,14.2857,0.423,2.0,5.2857,0.3061,3.5714,3.7143,0.9821,0.7143,4.1429,4.8571,5.8571,0.4286,0.1429,1.7143,2.1429,17.8571,-1.8571,1.0,0.4286,7
Stephen Curry,GSW,34.9414,8.5714,20.4286,0.4164,4.8571,13.0,0.3713,4.7143,4.8571,0.6904,0.7143,6.8571,7.5714,6.8571,1.4286,0.5714,4.0,1.5714,26.7143,8.4286,1.0,0.5714,7
Sterling Brown,DAL,12.1116,0.6667,3.6667,0.1638,0.5,2.8333,0.1583,0.3333,0.3333,0.1667,0.6667,2.5,3.1667,0.8333,0.1667,0.1667,1.0,1.6667,2.1667,-0.1667,0.0,0.5,6
Steven Adams,MEM,26.4206,3.75,6.875,0.5958,0.0,0.0,0.0,1.875,1.875,0.5,3.75,5.375,9.125,2.875,0.875,0.5,1.5,1.625,9.375,0.875,1.0,0.5,8
Svi Mykhailiuk,TOR,18.8631,2.8889,5.2222,0.6182,1.3333,3.0,0.4333,1.6667,1.8889,0.5926,0.7778,2.5556,3.3333,1.3333,1.0,0.0,1.1111,1.8889,8.7778,1.5556,0.2222,0.5556,9
T.J. McConnell,IND,24.5408,3.3333,7.1111,0.497,0.3333,1.2222,0.2222,0.0,0.2222,0.0,0.2222,2.3333,2.5556,5.5556,0.8889,0.3333,1.3333,2.1111,7.0,-4.7778,0.3333,0.5556,9
Tacko Fall,CLE,0.4665,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.75,4
Taj Gibson,NYK,13.5031,1.6667,3.0,0.2958,0.0,0.5,0.0,0.5,0.5,0.1667,1.6667,1.6667,3.3333,0.6667,0.1667,0.8333,0.5,2.3333,3.8333,3.1667,0.0,0.5,6
Taurean Prince,MIN,13.7148,0.8571,3.7143,0.2074,0.4286,2.7143,0.1476,0.7143,1.1429,0.2857,0.4286,1.1429,1.5714,0.5714,0.4286,0.0,0.7143,1.4286,2.8571,0.4286,0.0,0.8571,7
Terance Mann,LAC,29.7974,3.7143,8.5714,0.4727,1.1429,3.2857,0.369,1.4286,2.0,0.6667,1.8571,3.2857,5.1429,3.1429,1.2857,0.2857,1.1429,2.4286,10.0,5.5714,0.0,0.5714,7
Terence Davis,SAC,8.5479,0.875,4.125,0.1551,0.25,2.375,0.0312,0.0,0.0,0.0,0.125,0.875,1.0,0.75,0.375,0.0,0.375,1.5,2.0,-1.75,0.125,0.375,8
Terrence Ross,ORL,26.3422,3.4444,8.0,0.4166,1.4444,4.3333,0.3504,1.8889,2.2222,0.4321,0.2222,1.5556,1.7778,1.6667,0.4444,0.2222,0.8889,1.3333,10.2222,-13.2222,0.0,0.3333,9
Terry Rozier,CHO,20.7913,2.6667,8.1667,0.196,1.5,4.8333,0.1585,1.1667,1.3333,0.4167,0.3333,2.3333,2.6667,1.8333,0.6667,0.1667,2.0,0.8333,8.0,0.0,0.6667,0.3333,6
Thaddeus Young,SAS,10.9726,1.8333,3.8333,0.287,0.0,0.3333,0.0,0.0,0.0,0.0,1.3333,1.6667,3.0,2.0,0.8333,0.3333,1.0,1.1667,3.6667,0.0,0.0,0.3333,6
Thanasis Antetokounmpo,MIL,19.068,2.5,5.0,0.5666,0.0,0.375,0.0,0.625,0.875,0.2709,1.75,3.75,5.5,1.375,1.125,0.125,1.125,2.625,5.625,-1.5,0.5,0.5,8
Théo Maledon,OKC,16.6905,1.0,4.0,0.2381,0.4286,2.4286,0.2,0.4286,0.5714,0.2143,0.4286,1.7143,2.1429,1.5714,0.2857,0.0,1.5714,1.1429,2.8571,-3.8571,0.0,0.4286,7
Tim Hardaway,DAL,31.1611,4.875,12.25,0.3752,3.0,8.25,0.3388,2.25,2.75,0.5938,0.25,3.125,3.375,2.0,1.25,0.125,0.75,2.0,15.0,-3.375,1.0,0.5,8
Timothé Luwawu-Cabarrot,ATL,1.4915,0.0,0.5,0.0,0.0,0.25,0.0,0.125,0.25,0.0625,0.0,0.375,0.375,0.25,0.0,0.0,0.125,0.0,0.125,-0.75,0.0,0.375,8
Tobias Harris,PHI,28.3333,7.2857,13.4286,0.4694,1.1429,3.5714,0.2476,1.2857,1.4286,0.5429,1.1429,6.5714,7.7143,3.5714,0.1429,0.2857,1.2857,1.0,17.0,1.8571,0.8571,0.5714,7
